Timestamp (UTC+12:00),NO.Hourly Aggregate (µg/m³),NO2.Hourly Aggregate (µg/m³),SO2.Hourly Aggregate (µg/m³),Air Temp.Hourly Aggregate (°C),Rel Humidity.Hourly Aggregate (%),Wind Dir.Hourly Aggregate (°),Wind Speed.Hourly Aggregate (m/s),"PM2,5.Lag1","PM2,5.Lag2","PM2,5.Hourly Aggregate (µg/m³)"
2020-01-01 0:00:00,3.9,12.5,-0.1,18,75.2,229,2.3,,,11.9
2020-01-01 1:00:00,6.6,17.1,,18,76.8,218,2.1,11.9,,9.3
2020-01-01 2:00:00,3.2,13,-0.1,18,78.4,216,2.1,9.3,11.9,7.9
2020-01-01 3:00:00,1.5,15.2,0.1,18,79.8,208,1.4,7.9,9.3,7.8
2020-01-01 4:00:00,1.6,16.8,0,18,80.6,168,1,7.8,7.9,9.4
2020-01-01 5:00:00,1.6,16.7,0.1,18,80.1,177,1.1,9.4,7.8,9.2
2020-01-01 6:00:00,0.9,10.3,-0.1,18,80.4,225,1.3,9.2,9.4,10.5
2020-01-01 7:00:00,1.9,10,0.1,18,80,271,1.1,10.5,9.2,9.3
2020-01-01 8:00:00,1.5,4.5,0,19,74.9,273,1.3,9.3,10.5,9
2020-01-01 9:00:00,1.6,3.1,0,20,68.3,267,1.8,9,9.3,8.4
2020-01-01 10:00:00,3.5,4.3,-0.1,20,66.4,231,3.2,8.4,9,8.7
2020-01-01 11:00:00,3.1,4.1,0.1,20,64.2,231,4.3,8.7,8.4,8.4
2020-01-01 12:00:00,3.3,3.9,-0.1,21,60.8,227,4.6,8.4,8.7,7.3
2020-01-01 13:00:00,3.4,2.6,0,21,59.4,226,4.9,7.3,8.4,6.2
2020-01-01 14:00:00,3.5,2.1,-0.1,21,59.5,224,5.2,6.2,7.3,6
2020-01-01 15:00:00,4.1,3.2,0.1,21,61.5,226,4.8,6,6.2,5.4
2020-01-01 16:00:00,3.8,2.7,0,20,61.5,225,4.7,5.4,6,5.2
2020-01-01 17:00:00,4.4,3.2,0,20,60.2,221,4.4,5.2,5.4,4.8
2020-01-01 18:00:00,5,3.3,0.1,20,61.5,226,3.8,4.8,5.2,4.5
2020-01-01 19:00:00,4,2.5,-0.1,19,63.8,217,4.5,4.5,4.8,4.1
2020-01-01 20:00:00,4,2.6,0.1,18,67.9,218,5,4.1,4.5,4.2
2020-01-01 21:00:00,4,3.1,-0.1,18,68.5,220,4.9,4.2,4.1,4.2
2020-01-01 22:00:00,2.7,2.2,0.1,18,69.8,210,4.4,4.2,4.2,4.2
2020-01-01 23:00:00,2.5,1.2,-0.1,18,71.5,212,4.3,4.2,4.2,4.2
2020-01-02 0:00:00,2.1,1.4,0.1,18,71.6,211,4.4,4.2,4.2,4.2
2020-01-02 1:00:00,,,-0.1,18,72,212,4.9,4.2,4.2,4.5
2020-01-02 2:00:00,1.3,0.2,0.1,18,71.7,213,5,4.5,4.2,4.7
2020-01-02 3:00:00,1.2,0.6,0,18,71.2,210,4.4,4.7,4.5,5
2020-01-02 4:00:00,1.1,1.8,0,17,70.9,213,4.3,5,4.7,5.6
2020-01-02 5:00:00,2.2,4.2,0,18,70.6,211,4.2,5.6,5,5.9
2020-01-02 6:00:00,3.1,6.1,0,17,71.7,217,4,5.9,5.6,6.1
2020-01-02 7:00:00,3.7,5.5,0.1,18,70.9,213,4.3,6.1,5.9,5.7
2020-01-02 8:00:00,4.5,5.9,0,18,70.6,214,4.6,5.7,6.1,4.9
2020-01-02 9:00:00,5.3,6.2,0,18,68.8,215,5,4.9,5.7,4.7
2020-01-02 10:00:00,5.3,4.8,0,19,66.3,218,5.4,4.7,4.9,4.9
2020-01-02 11:00:00,6.1,4.7,0,20,62.4,218,5.3,4.9,4.7,4.9
2020-01-02 12:00:00,4.8,3.8,0.1,20,61.1,224,5.6,4.9,4.9,4.7
2020-01-02 13:00:00,4.7,3.2,0,21,62.7,221,6.1,4.7,4.9,4.9
2020-01-02 14:00:00,4.5,3.4,0,21,64.7,228,6.4,4.9,4.7,5.2
2020-01-02 15:00:00,4.7,3.3,0,21,66.1,224,5.9,5.2,4.9,5.1
2020-01-02 16:00:00,4.5,2.7,0,21,67.9,229,6,5.1,5.2,5.5
2020-01-02 17:00:00,3.9,2.5,0,20,69.1,233,6,5.5,5.1,5.3
2020-01-02 18:00:00,4.1,3.1,0.1,20,68.6,228,5.9,5.3,5.5,5.3
2020-01-02 19:00:00,4.7,4,0,20,65.4,221,5.8,5.3,5.3,4.7
2020-01-02 20:00:00,4,3.9,0,19,66.3,222,5.5,4.7,5.3,4.8
2020-01-02 21:00:00,3.4,3.9,0,19,68.2,219,4.9,4.8,4.7,5.1
2020-01-02 22:00:00,3.5,3.9,-0.1,19,68.9,221,4.2,5.1,4.8,5.9
2020-01-02 23:00:00,2.6,4.3,0.1,19,70,217,3.5,5.9,5.1,5.3
2020-01-03 0:00:00,1.7,1.9,-0.1,19,70.8,226,3.5,5.3,5.9,5.6
2020-01-03 1:00:00,1.2,1.3,,19,71.2,228,3.5,5.6,5.3,6.8
2020-01-03 2:00:00,1.6,2,0,19,71.1,234,4.1,6.8,5.6,8.2
2020-01-03 3:00:00,1.7,2.3,-0.1,20,69.7,240,3.6,8.2,6.8,9.3
2020-01-03 4:00:00,1.6,2.8,0,20,69.6,241,3.7,9.3,8.2,9.9
2020-01-03 5:00:00,2,4.8,0,20,69.6,245,3.6,9.9,9.3,10.4
2020-01-03 6:00:00,3.4,8.9,0,20,70,261,2.7,10.4,9.9,10.8
2020-01-03 7:00:00,2.7,7.9,0,20,70.1,280,2,10.8,10.4,10.2
2020-01-03 8:00:00,5.9,7.7,0,21,69.6,249,4.3,10.2,10.8,9.6
2020-01-03 9:00:00,7.1,7,0,22,68.5,250,4.8,9.6,10.2,8.8
2020-01-03 10:00:00,7.6,10.1,0,22,68.5,262,3.7,8.8,9.6,8.2
2020-01-03 11:00:00,7.3,9.6,0,21,77,252,4.1,8.2,8.8,6.9
2020-01-03 12:00:00,9,11.8,-0.1,20,82.1,228,5.8,6.9,8.2,17
2020-01-03 13:00:00,7.9,8.5,0.1,21,61.8,228,7.1,17,6.9,18.8
2020-01-03 14:00:00,7.6,6.3,0,21,57.4,231,7.1,18.8,17,10.5
2020-01-03 15:00:00,8.3,7.2,0,21,54.3,228,6.6,10.5,18.8,11
2020-01-03 16:00:00,9.1,7.5,0,21,50.9,222,6.5,11,10.5,10.2
2020-01-03 17:00:00,6.1,4.7,0,21,53.6,233,6.8,10.2,11,10.3
2020-01-03 18:00:00,5.4,5,0,20,56.3,233,6.7,10.3,10.2,10.6
2020-01-03 19:00:00,5,4.2,0.1,19,56.3,230,6.8,10.6,10.3,9.8
2020-01-03 20:00:00,3.9,3.8,-0.1,18,58.1,228,6.2,9.8,10.6,8.6
2020-01-03 21:00:00,4.3,4.3,0.2,18,64.1,223,6.1,8.6,9.8,10.6
2020-01-03 22:00:00,3.8,4.7,0,18,64.8,225,6.4,10.6,8.6,12.9
2020-01-03 23:00:00,3.7,4.5,0.1,18,64.5,225,5.3,12.9,10.6,13.1
2020-01-04 0:00:00,1.8,2.1,-0.2,18,62.9,235,5.7,13.1,12.9,10.7
2020-01-04 1:00:00,,,0.2,17,66,221,5.4,10.7,13.1,11.4
2020-01-04 2:00:00,1.5,1.3,0,17,59.6,230,5.7,11.4,10.7,10.2
