review_text,review_stars,title
"What is special about the book is the sequence in which the author chose to present his thoughts. While this book is no means a guide to implementing a data driven strategy or applying machine learning in a commercial setting, this is definitely a helpful book for people who have enough hands on experience in implementing end-to-end analytics solutions and getting ready to try their hand on a strategic leadership role. Treat this like a cheat sheet to avoid pitfalls and you will be able to appreciate the presentation format.",5.0 out of 5 stars,Becoming a Data Head: How to Think Speak and Understand Data Science Statistics and Machine Learning
"IMHO, this is a really good overview of the data science industry today (circa 2021). Two things that stood out to me: 1) the emphasis on practical explanations (this is what it really means) and 2) the emphasis on pre-technical analysis components of data science (what I am referring to as the MORE framework representing consideration of missing data, origin story of data, representativeness of the data to what you are investigating, and exploration through visualization). For a day read, this was an awesome book… and probably most useful for A) data science folk concerned with delivery and communication and/or B) business folk who want to be more data-driven.",5.0 out of 5 stars,Becoming a Data Head: How to Think Speak and Understand Data Science Statistics and Machine Learning
"In a world where data continues exponential growth trajectory one needs to be able to make sense of the data. Many times people take data visualizations and statistical reports at face value. If only there was a book to help people cut through the noise of Big Data, Machine Learning, and Artificial Intelligence. The book “Becoming A Data Head” is that book that helps readers cut through the noise and hype of these new realms of leveraging data!The book provides tools and details on how readers can better understand the merits of machine learning, artificial intelligence, and overall use of data. There are also chapters on probabilities, statistics, and regression equations that help set the foundation for the more advance methodologies. I love how the authors break down these complex ideas so that readers can be skeptical and challenge assumptions. In addition readers will know how to ask better questions at the start of a project, so that the data analytics project will provide meaningful results.This book will help people work more efficiently with data scientists and communicate the problems they are trying to solve with data available to them. I highly recommend this book for anyone that wants to improve their understanding of data and the methods that can be used to analyze data sets.",5.0 out of 5 stars,Becoming a Data Head: How to Think Speak and Understand Data Science Statistics and Machine Learning
"First and foremost, I know the main author well, and I'm happy to see this book finally ""hit the shelves"". It's a book I would've greatly appreciated as an undergrad in statistics (or even graduate school for that matter), as it discusses a lot of practical aspects about being a good data scientist that my old formula-heavy stats and consulting books tended to gloss over. The authors have a natural talent in explaining complex topics to non-technical audience without all the fluff, and have obviously put a lot of thought into the examples used throughout the book (just take a look at the deep learning chapter!). The book covers a lot of important ground and the material is presented well. I think practitioners, whether in academia or industry, will especially appreciate the chapter on common pitfalls, which highlights several common problems we often run into in applied work. Parts I and II of the  book (Thinking/Speaking like a Data Head) will help build skills that are critical to applied data science (e.g., asking the right questions and thinking  about variation).  Whether you're an experienced data scientist, or just getting started, I wholeheartedly recommend this  book to you.",5.0 out of 5 stars,Becoming a Data Head: How to Think Speak and Understand Data Science Statistics and Machine Learning
"As someone enthusiastic about data and its potential to improve legal service delivery and the legal industry more generally, the book Becoming a Data Head is proving to be an excellent and accessible introduction to the space.We all often joke about lawyers and their fear of numbers. Still, numbers and data are becoming increasingly crucial for the legal industry, just as it has been essential for so many other industries for a long time.I strongly encourage you to challenge yourself and what you assume about yourself and data and explore this important field, starting by reading this book.",5.0 out of 5 stars,Becoming a Data Head: How to Think Speak and Understand Data Science Statistics and Machine Learning
A great plain English introduction to many of the methods used in Data Science and how to think about these results critically.,5.0 out of 5 stars,Becoming a Data Head: How to Think Speak and Understand Data Science Statistics and Machine Learning
This book is amazing! I had to learn a lot of the material in this book the hard way through trial and error. Anyone that wants a shortcut to becoming a data expert should read this book.,5.0 out of 5 stars,Becoming a Data Head: How to Think Speak and Understand Data Science Statistics and Machine Learning
Becoming A Data Head is a fantastic read. I currently am in the data analytics profession and wanting to delve deeper into data science. This book provides great input into becoming a Data Head. I’ve learned quite a lot.,5.0 out of 5 stars,Becoming a Data Head: How to Think Speak and Understand Data Science Statistics and Machine Learning
"For those who need to get up to speed quickly from zero, this is a great book.  Good foundation knowledge on multiple important subjects lets the reader feel more confident when joining a Data Science Team.",5.0 out of 5 stars,Becoming a Data Head: How to Think Speak and Understand Data Science Statistics and Machine Learning
Gutman and Goldmeier filter through much of the noise to break down complex data and statistical concepts we hear today into basic examples and analogies that stick. ‘Becoming a Data Head’ has enabled me to translate my team’s data needs into more tangible business requirements that make sense for our organization. A great read if you want to communicate your data more effectively to drive your business and data science team forward!,5.0 out of 5 stars,Becoming a Data Head: How to Think Speak and Understand Data Science Statistics and Machine Learning
